SocialName  none~
CharNoArg   none~
OtherNoArg  none~
CharFound   none~
OtherFound  none~
VictFound   none~
CharNFound  none~
CharSelf    none~
OtherSelf   none~

SocialName  shag~
CharNoArg   You look around for someone or something to shag!~
OtherNoArg  $n is looking around for someone to shag.~
CharFound   You shag $N like there's no tomorrow!~
OtherFound  $n shags $N like there's no tomorrow!.~
VictFound   $n starts shagging you like theirs no tomorrow!~
CharNFound  Hmm...that person is not here to shag.~
CharSelf    You begin to start shagging yourself...wtf?~
OtherSelf   $n begins making odd sounds as he starts to shag himself...wtf?~

SocialName  bah~
CharNoArg   You express your distaste.~
OtherNoArg  BAH!~
CharFound   You BAH at $N~
OtherFound  $n unleashes a mighty BAH at $N!~
VictFound   Without warning, $n turns and screams "BAH!", right in your face!~
CharNFound  You look around for $N, but you can't seem to find $M.~
CharSelf    You think BAH! to yourself.~
OtherSelf   $n looks vaguely dissatisfied.~

SocialName  moo~
CharNoArg   You moo.~
OtherNoArg  $n moos placidly.~
CharFound   You moo at $N, looking for love.~
OtherFound  $n moos at $N, looking for love.~
VictFound   $n turns toward you and moos in a way that makes you feel

uncomfortable.~
CharNFound  Try to moo at them, but then you notice they are not here.~
CharSelf    You moo at yourself. What an idjit.~
OtherSelf   $n moos at $sself. What an idjit.~

SocialName  bull~
CharNoArg   You try to spread the BS on nice and thick!~
OtherNoArg  $n tries to spread the BS on nice and thick!~
CharFound   You dont believe any of $N's BS!~
OtherFound  $n clearly doesnt believe any of the BS $N is handing out.~
VictFound   $n clearly doesnt believe any of your BS!~
CharNFound  Sorry they left.~
CharSelf    You try to spread the BS on nice and thick!~
OtherSelf   $n tries to spread the BS on nice and thick!~

SocialName  bforgive~
CharNoArg   You drop to your knees and beg the gods for forgiveness!~
OtherNoArg  $n drops to $s knees and begs the gods for forgiveness!~
CharFound   You drop to your knees and beg $N  with all honesty for forgiveness. You cant believe how much of a FOOL you were! SLAP!~
OtherFound  $n drops to $s knees and begs $N forgiveness!~
VictFound   $n drops to $s knees and kisses your feet, begging you for forgiveness.~
CharNFound  Sorry they left.~
CharSelf    You try to forgive yourself but you just cant!~
OtherSelf   $n tries to forgive $mself. Wonder what $e did?~

SocialName  4ever~
CharNoArg   You look around for someone to hold.~
OtherNoArg  $n is looking for someone to hold.~
CharFound   You hold $N close, as if you never want to let $M go.~
OtherFound  $n holds $N close, as if $e never wants to let $M go.~
VictFound   $n holds you close, as if $e never wants to let you go.~
CharNFound  Sorry they left.~
CharSelf    You try to hold yourself close..get a life!~
OtherSelf   $n tries to hold $mself close..what a moron!~

SocialName  hum~
CharNoArg   You hum innocently.~
OtherNoArg  $n hums innocently.~
CharFound   You hum and look at $N innocently.~
OtherFound  $n hums and look at $N innocently.~
VictFound   $n hums and look at you innocently.~
CharNFound  You can hum innocently all you want they left!~
CharSelf    You hum innocently.~
OtherSelf   $n hums innocently.~

SocialName  pounce~
CharNoArg   You crouch down and get ready to pounce!~
OtherNoArg  $n crouches down and gets ready to pounce!~
CharFound   You tenses up and pounce on $N, bowling $M over!~
OtherFound  $n tenses up and pounce on $N, bowling $M over!~
VictFound   $n tenses up and pounces on you, bowling you over!~
CharNFound  Pounce away they left!~
CharSelf    You pounce on yourself.~
OtherSelf   $n pounces on $sself.~

SocialName  gaze~
CharNoArg   You gaze around at your surroundings in amazement.~
OtherNoArg  $n gazes around at $s surroundings in amazement.~
CharFound   You gaze at $N in complete adoration.~
OtherFound  $n gazes at $N in complete adoration.~
VictFound   $n gazes at you in complete adoration.~
CharNFound  gaze away they left.~
CharSelf    You gaze around at your surroundings in amazement.~
OtherSelf   $n gazes around at $s surroundings in amazement.~

SocialName  shuffle~
CharNoArg   You stare at the ground and shuffle your feet shyly.~
OtherNoArg  $n stares at the ground and shuffles $s feet shyly.~
CharFound   You blush at $N and shuffle your feet shyly.~
OtherFound  $n blushes at $N and shuffles $s feet shyly.~
VictFound   $n blushes at you and shuffles $s feet shyly.~
CharNFound  shuffle shuffle.~
CharSelf    You stare at the ground and shuffle your feet shyly.~
OtherSelf   $n stares at the ground and shuffles $s feet shyly.~

SocialName  thumb~
CharNoArg   You thumb your nose at the world in general.~
OtherNoArg  $n thumbs $s nose at the world.~
CharFound   You thumb your nose at $N.~
OtherFound  $n thumbs $s nose at $N.~
VictFound   $n thumbs $s nose at you.~
CharNFound  Oops they left.~
CharSelf    You thumb your nose at the world in general.~
OtherSelf   $n thumbs $s nose at the world.~

SocialName  iwhistle~
CharNoArg   You whistle innocently.~
OtherNoArg  $n looks at the sky and whistles innocently.~
CharFound   You look innocently at $N.~
OtherFound  $n is looking innocently at $N.~
VictFound   $n is looking very innocently at you.~
CharNFound  Not likely, as there is no-one here by that name.~
CharSelf    You whistle innocently to yourself.~
OtherSelf   $n whistles innocently to $mself, surely $n could have done nothing wrong.~

SocialName  blood~
CharNoArg   You shout 'I WANT BLOOD LETS KILL!'~
OtherNoArg  $n shouts 'I WANT BLOOD LETS KILL!'~
CharFound   You want $N's blood, you're really peeved now!~
OtherFound  $n wants  $N's blood.~
VictFound   $n  wants your blood, You must have really peeved $s off!~
CharNFound  Cant have blood if they are not here.~
CharSelf    You want your own blood...what a pervert!~
OtherSelf   $n wants $s own blood, what a pervert!~

SocialName  egrin~
CharNoArg   You grin so evily your alignment drops.~
OtherNoArg  $n grins so evily $s alignment drops.~
CharFound   You grin so evily at $N that your alignment drops.~
OtherFound  $n grins so evily at $N that $s alignment drops.~
VictFound   $n grins at you so evily $s alignment drops.~
CharNFound  Grin away fool there is no one here.~
CharSelf    You grin evily at yourself.~
OtherSelf   $n grins evily at $mself~

SocialName  rice~
CharNoArg   You throw rice in the air.~
OtherNoArg  $n throws a handful of rice in the air.~
CharFound   You throw a handful of rice at $N.~
OtherFound  $n throws a handful of rice at $N.~
VictFound   $n throws a handful of rice over you.~
CharNFound  You throw rice in the air.~
CharSelf    You throw rice over yourself.~
OtherSelf   $n throws a handful of rice over $mself.~

SocialName  gpeace~
CharNoArg   You deftly join in the peace process.~
OtherNoArg  $n deftly joins the peace process.~
CharFound   You try to mediate a solution to $N's problem.~
OtherFound  $n tried to mediate a peaceful solution to $N's troubles.~
VictFound   $n tried to mediate a peaceful solution to your troubles.~
CharNFound  They did not wait to hear your solution.~
CharSelf    You try to solve your own problems.~
OtherSelf   $n tries to solve $s problems.~

SocialName  secret~
CharNoArg   Find someone to admire...jees you need a life!~
OtherNoArg  none~
CharFound   You secretly admire $N.~
OtherFound  $N has a secret admirer~
VictFound   You have a secret admirer.~
CharNFound  Find someone to admire...jees you need a life!~
CharSelf    Find someone to admire...jees you need a life!~
OtherSelf   none~

SocialName  lag~
CharNoArg   You are lagging again...whats new!~
OtherNoArg  $n figures $s been lagging for about half an hour now...~
CharFound   You apologize to $N for lagging.~
OtherFound  $n is lagging again...whats new!~
VictFound   $n says to you 'sorry lagging again.'~
CharNFound  They got sick of you lag and left!~
