#SPELL
Slot 1
Gsn 72
SType 4
Sname Detect Hidden~
SFname Detect Hidden~
SLev 30
Noun Spell~
A2C1 Your eyes fade into the $B$0hidden$R$7 realm.~
A2NV1 $n's eyes shimmer as the hidden realm becomes clear.~
Durat 20~
BitVe 32
Mana 25
ManaT 4
CastT 25
WearO You can no longer sense the hidden.~
#SPELL
Slot 1
Gsn 168
SType 0
SBits 33554432
Sname Cure Lethargy~
SFname Cure Lethargy~
SLev 91
Noun Spell~
A2C1 You cast your spell successfully!~
A2V1 Your body feels a lot lighter as $n $2cu$Bre$R$2s$R$7 the $B$0lethargy$R$7.~
Durat 0~
BitVe 16384
Mana 40
ManaT 1
CastT 40
WearO The spell has worn off.~
#SPELL
Slot 1
Gsn 240
SType 1
SBitT 1
Sname Cone of Cold~
SFname Cone of Cold~
SLev 38
Pr1 Icicle~
Noun $R$B$1<() CONE OF COLD ()> $R~
A2C1 A massive $Bcone$R of $B$1ice$R forms at your fingertips...$R~
A2V1 A massive $Bcone$R of $B$1ice$R pierces into your skin!$R~
Durat 3~
Locat1 1
Modif1  -5~
Dam i+i+(l/9)+b+a~
Mana 40
ManaT 8
CastT 40
WearO The spell has worn off.~
Minint 24
Guilds 33536
#SPELL
Slot 0
Gsn 552
Sname Block~
SFname Block~
SLev 48
Pr1 Kick~
Pr2 Steadiness~
Noun ~
Durat 0~
CastT 10
WearO ~
Minint 15
Minwis 15
Guilds 32
#SPELL
Slot 1
Gsn 96
SType 1
Sname Acid Blast~
SFname Acid Blast~
SLev 91
Noun Spell~
Durat 0~
ManaT 8
CastT 0
WearO The spell has worn off.~
#SPELL
Slot 1
Gsn 216
SType 0
SBits 4096
Sname Angelic Convokation~
SFname Angelic Convokation~
SLev 91
Noun Spell~
A2C1 You call upon the angels above to bring forth your ally.~
A2NV1 A swarm of light bathes you from head to toe to carry you forth to aid your ally.~
Durat 0~
Mana 150
ManaT 16
Pos 12
CastT 120
WearO The spell has worn off.~
Minint 22
Minwis 28
Guilds 1048704
SplLag 3
#SPELL
Slot 1
Gsn 264
SType 1
Sname Windflare of Virtue~
SFname Windflare of Virtue~
SLev 35
Pr1 Vortex~
Pr2 Bless~
Noun $1W$R$1ind$4f$Blare$R$7~
A2C1 $R$7Your $1w$Bind$R$4f$Blare$R$R of $3v$Birtu$R$3e$R$7 blinds your victim with $2p$Bower$R$7~
A2V1 $R$7Your eyes begin to burn with fire was the $1w$Bind$R$4f$Blare$R$7 blinds your eyes.~
Durat 1~
BitVe 1
Dam z50+w+w+(l/10)-b~
Mana 40
ManaT 1
CastT 35
WearO The spell has worn off.~
Minint 10
Guilds 2097824
#SPELL
Slot 1
Gsn 192
SType 1
SBits 33554753
Sname turnundead2~
SFname turnundead2~
SLev 91
Noun Spell~
A2C1 You $B$6in$7v$6o$7k$6e$R the name of the $B$6M$7os$6t H$7ol$6y$R to turn away the $B$0Un$R$7d$B$0e$R$7a$B$0d H$R$7o$B$0a$R$7r$B$0de$R!~
A2NV1 $n $B$6in$7v$6o$7k$6es$R the name of the $B$6M$7os$6t H$7ol$6y$R to turn away the $B$0Un$R$7d$B$0e$R$7a$B$0d H$R$7o$B$0a$R$7de$R!~
Durat 0~
BitVe 262144
Dam 0~
Mana 10
ManaT 16
Pos 8
CastT 1
WearO The spell has worn off.~
Minint 20
Minwis 22
Guilds 128
SplLag 2
FailChan 3
#SPELL
Slot 2
Gsn 360
Sname Steal~
SFname Steal~
SLev 91
Noun ~
Durat 0~
Pos 12
CastT 50
WearO ~
Minint 19
Guilds 576
SplLag 5
FailChan 20
PKChan 20
#SPELL
Slot 0
Gsn 576
Sname Shoot~
SFname Shoot~
SLev 35
Pr2 Dual Wield~
Noun shot~
Durat 0~
Mana 3
CastT 10
WearO ~
Minint 18
Minwis 22
Guilds 512
#SPELL
Slot 1
Gsn 120
SType 1
BitT 16
Sname Paralyze~
SFname Paralyze~
SLev 91
Pr1 Searing Orb~
Pr2 phase shield~
Noun Spell~
A2C1 You send forth a powerful paralyzing shock through $N!~
A2V1 You suddenly feel a powerful shock move through your body paralyzing your muscles!~
A2NV1 $N begins to convulse and froth at the mouth...~
Durat 1~
Mana 100
ManaT 2
CastT 70
WearO The paralyze fades from your body as you begin to move.~
Minwis 20
Guilds 1048704
PKChan 60
#SPELL
Slot 1
Gsn 144
SType 1
Sname Lethargy~
SFname Lethargy~
SLev 65
Pr2 Confusion~
Noun Spell~
A2C1 You inflict $N with a tiring sickness.~
A2V1 $B$0You feel fatigue spread throughout your limbs.$R$7~
A2NV1 $N suddenly looks a bit tired.~
Durat 2~
BitVe 16384
Mana 45
ManaT 8
CastT 85
WearO You feel much less lethargic, as your energy returns to you.~
Guilds 1048704
#SPELL
Slot 0
Gsn 553
Sname Guard~
SFname Guard~
SLev 21
Pr1 Rescue~
Noun guard~
Durat 0~
Pos 9
CastT 0
WearO ~
Minint 17
Minwis 17
Guilds 160
#SPELL
Slot 2
Gsn 361
Sname Forge~
SFname Forge~
SLev 50
Noun ~
Durat 0~
CastT 10
WearO ~
Minwis 22
Guilds 2048
#SPELL
Slot 1
Gsn 169
SType 2
Sname Earthen Strength~
SFname Earthen Strength~
SLev 46
Pr1 Major Protection~
Noun Spell~
A2C1 You cast your spell successfully!~
A2V1 Your $2m$Buscle$R$2s$R$7 grow larger as $6e$2arthe$6n$R$7 $4s$Btrengt$R$4h$R$7 takes affect on your body.~
A2NV1 $n's muscles grow larger as earthen strength takes affect on the body.~
Durat l/3~
Locat0 1
Modif0  1~
Mana 30
ManaT 1
CastT 45
WearO The spell has worn off.~
Guilds 2097696
#SPELL
Slot 1
Gsn 145
SType 2
BitT 524288
Sname Detect Chameleon~
SFname Detect Chameleon~
SLev 50
Pr1 Detect Hidden~
Pr2 Detect Invisible~
Noun Spell~
A2C1 You cast Detect Chameleon on $n.~
A2V1 Your eyes $B$2glow green$R and fade.~
A2NV1 $N eyes $B$2glow green$R then fade.~
Durat a+5~
Mana 70
ManaT 1
CastT 13
WearO The spell has worn off.~
Minint 5
Minwis 8
